Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Bacillus	28892	23502	85200
Lysinibacillus	1863	1183	4082
Virgibacillus	1827	1111	5771
Oceanobacillus	957	636	2289
Geobacillus	596	448	7563
Anoxybacillus	514	330	2846
Fictibacillus	496	307	1371
Halobacillus	396	226	971
Psychrobacillus	349	225	424
Parageobacillus	284	209	1056
Gracilibacillus	249	157	512
Paraliobacillus	240	125	441
Pontibacillus	202	122	923
Salicibibacter	202	129	542
Amphibacillus	161	83	304
Pradoshia	153	91	352
Lentibacillus	116	85	190
Aeribacillus	111	59	179
Terribacillus	87	70	580
Salimicrobium	85	43	318
Paenibacillus	12501	49081	246855
Cohnella	2657	1714	3325
Brevibacillus	2083	1230	7992
Saccharibacillus	264	159	1978
Aneurinibacillus	145	97	870
Thermobacillus	96	41	892
Staphylococcus	9888	2520770	41285
Macrococcus	505	354	1171
Auricoccus	99	69	832
Jeotgalicoccus	86	52	347
Salinicoccus	75	51	270
Planococcus	951	634	5326
Sporosarcina	792	498	4016
Solibacillus	430	322	1723
Paenisporosarcina	322	207	1113
Kurthia	304	189	1349
Jeotgalibacillus	193	134	617
Rummeliibacillus	191	132	427
Ureibacillus	142	112	632
Listeria	2862	1772	7427
Brochothrix	222	144	1028
Gemella	762	544	41292
Exiguobacterium	482	340	3086
Tumebacillus	154	92	989
Alicyclobacillus	103	59	1595
Kyrpidia	68	39	832
Laceyella	97	39	502
Novibacillus	56	60	123
Staphylospora	54	23	358
Thermoactinomyces	48	37	722
Sporolactobacillus	65	63	362
Lactobacillus	10442	6863	40453
Pediococcus	642	389	2283
Streptococcus	9237	5510	184091
Lactococcus	1700	1253	4463
Enterococcus	3307	3561	25780
Vagococcus	563	323	1688
Tetragenococcus	404	262	1645
Melissococcus	331	228	425
Leuconostoc	1129	617	4066
Weissella	1017	668	2793
Oenococcus	380	178	1340
Carnobacterium	1232	794	2938
Jeotgalibaca	414	236	1634
Marinilactibacillus	218	127	1071
Dolosigranulum	88	49	646
Aerococcus	446	258	3184
Suicoccus	76	30	1704
Clostridium	41285	24245	89393
Alkaliphilus	580	363	4135
CandidatusArthromitus	439	327	1220
Caloranaerobacter	424	266	930
Geosporobacter	348	205	1450
Hathewaya	324	208	973
Crassaminicella	311	215	1055
Caloramator	304	206	1180
Hungatella	132	90	2276
Lachnoclostridium	1366	809	20811
Blautia	1007	484	11968
Cellulosilyticum	573	299	1417
Butyrivibrio	504	350	4371
Anaerostipes	483	273	3119
Roseburia	299	141	4393
Anaerocolumna	298	235	1189
Anaerobutyricum	189	169	737
Herbinix	172	107	1476
Lachnospira	165	84	1814
Lachnoanaerobaculum	162	91	9755
Anaerotignum	156	61	1541
Pseudobutyrivibrio	129	50	840
Clostridioides	1325	1022	21906
Paraclostridium	609	298	2733
Paeniclostridium	472	343	1838
Filifactor	362	246	120492
Acetoanaerobium	213	149	6234
Peptoclostridium	155	68	2689
Aminipila	2299	1456	5315
Mogibacterium	155	91	6329
Thermaerobacter	175	98	3241
Carboxydocella	138	87	433
Desulfosporosinus	706	395	3371
Desulfitobacterium	508	294	4282
Desulfotomaculum	448	259	2473
Dehalobacter	199	139	1337
Desulfofarcimen	133	53	425
Dehalobacterium	129	72	839
Syntrophobotulus	96	43	1134
Desulfallas	66	33	494
Thermincola	60	36	1064
CandidatusDesulforudis	46	32	627
Hungateiclostridium	821	934	4306
Ruminiclostridium	272	120	539
Thermoclostridium	202	127	1800
Pseudoclostridium	127	68	1160
Fastidiosipila	125	71	2213
Mageeibacillus	17	9	1641
Ruminococcus	494	331	3803
