Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Capnocytophaga_NZ_CP022387.1	12434.5	145	4462834.5
Komagataeibacter_NZ_CP050139.1	2486	283.5	710695.5
Porphyromonas_NC_010729.1	68629	499	658838
Prevotella_NZ_CP072373.1	2123	27	339014.5
Pseudomonas_NZ_CP063233.1	5695.5	306.5	1714005
Rothia_NZ_CP079201.1	1260.5	99	226087
Staphylococcus_NZ_CP040625.1	741.5	137.5	125994
Streptococcus_NZ_CP097843.1	988	102.5	91241
Tannerella_NC_016610.1	25039	258.5	6867896.5
Treponema_NC_002967.9	1710	79	2522241
Veillonella_NZ_CP019721.1	571	78	87459
FCV_NC_075569.1	0	0	156
FeHV1_NC_013590.2	10	0	1577
FeLV_NC_001940.1	5.5	11	81
FIV_NC_001482.1	1	0	29
FCoV_DQ848678.1	1	0	427.5
FIPV_NC_002306.3	2	0	175
FPV_OQ836188.1	77.5	0	88
FPV2_LC612600.1	59	4	8021
Rabies_virus_NC_001542.1	0	0	81
FPLV_KP280068.1	0	0	58
