Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Capnocytophaga_NZ_CP022387.1	1.362	4e-04	9.8606
Komagataeibacter_NZ_CP050139.1	0.2723	7e-04	1.5703
Porphyromonas_NC_010729.1	7.5172	0.0012	1.4557
Prevotella_NZ_CP072373.1	0.2325	1e-04	0.7491
Pseudomonas_NZ_CP063233.1	0.6239	8e-04	3.7871
Rothia_NZ_CP079201.1	0.1381	2e-04	0.4995
Staphylococcus_NZ_CP040625.1	0.0812	3e-04	0.2784
Streptococcus_NZ_CP097843.1	0.1082	3e-04	0.2016
Tannerella_NC_016610.1	2.7426	6e-04	15.1746
Treponema_NC_002967.9	0.1873	2e-04	5.5729
Veillonella_NZ_CP019721.1	0.0625	2e-04	0.1932
FCV_NC_075569.1	0	0	3e-04
FeHV1_NC_013590.2	0.0011	0	0.0035
FeLV_NC_001940.1	6e-04	0	2e-04
FIV_NC_001482.1	1e-04	0	1e-04
FCoV_DQ848678.1	1e-04	0	9e-04
FIPV_NC_002306.3	2e-04	0	4e-04
FPV_OQ836188.1	0.0085	0	2e-04
FPV2_LC612600.1	0.0065	0	0.0177
Rabies_virus_NC_001542.1	0	0	2e-04
FPLV_KP280068.1	0	0	1e-04
